
Model,Brand,Body Type,Battery (kWh),Range (km),Power (kW),Torque (Nm),Acceleration 0-100 km/h (s),Top Speed (km/h),Drive Type,Seats,Charging (AC/DC),Notes,Citation
Honda e:Ny1 (e:NS1),Honda,Compact SUV,68.8 (61.9 usable),335 real / 412 WLTP,150.0,310.0,7.6,160.0,FWD,5,11 kW AC / 150 kW DC,Nominal battery 68.8 kWh; usable 61.9 kWh; EV with single motor,https://ev-database.org/car/1940/Honda-eNy1#:~:text=Batteryhttps://ev-database.org/car/1940/Honda-eNy1#:~:text=route%20conditions
Avatr 12 AWD,Avatr,Executive Sedan,94.5,650,425.0,650.0,3.9,220.0,AWD,5,Unknown,Dual-motor AWD variant of Avatr 12; performance model,https://cnevpost.com/car/avatr-12-specs/#:~:text=0,5
BYD SeaLion 07 (SeaLion 7),BYD,Mid-size SUV,82.5 usable,456,390.0,690.0,4.5,215.0,AWD,5,11 kW AC / 150 kW DC,New 800‑V SUV built on e‑platform 3.0; WLTP range 456 km,https://www.arenaev.com/byd_sealion_7_design_2024-specs-682.php#:~:text=
BYD Seagull (Long Range),BYD,City Hatchback,38.88,405,55.0,135.0,,130.0,FWD,5,6.6 kW AC / 40 kW DC,Low-cost city car; CLTC range; also available with 30 kWh battery,https://licarco.com/byd-seagull#:~:text=https://licarco.com/byd-seagull#:~:text=Battery
BYD Seal (RWD),BYD,Mid-size Sedan,82.5,570,,,5.9,180.0,RWD,5,Unknown,Blade battery; WLTP range 570 km; 0‑100 in 5.9 s,https://bydauto.com.cy/seal/#:~:text=Price%20includes%20the%20corporate%20promotional,valid%20for%20a%20limited%20timehttps://bydauto.com.cy/seal/#:~:text=BYD%20SEAL%20Design%2FRWD
BYD Seal (AWD),BYD,Mid-size Sedan,82.5,520,,,3.8,180.0,AWD,5,Unknown,Performance dual-motor version; WLTP range 520 km,https://bydauto.com.cy/seal/#:~:text=Price%20includes%20the%20corporate%20promotional,valid%20for%20a%20limited%20timehttps://bydauto.com.cy/seal/#:~:text=BYD%20SEAL%20Design%2FRWD
Xpeng G9 AWD Long Range,Xpeng,Mid-size SUV,98 (93 usable),520,405.0,717.0,3.9,200.0,AWD,5,11 kW AC / 300 kW DC,Chinese premium SUV with 800‑V architecture and high power,https://www.evspecs.org/tech-specs/xpeng/g9/awd-long-range#:~:text=Battery%20Capacity%20Gross%2FUseable%2098%2F93%20kWhhttps://www.evspecs.org/tech-specs/xpeng/g9/awd-long-range#:~:text=,Charging
MG ZS EV Long Range,MG,Compact SUV,72.6 (68.3 usable),370 real / 440 WLTP,115.0,280.0,8.4,175.0,FWD,5,7.4 kW AC / 94 kW DC,Updated battery pack from 2022; long-range version,https://ev-database.org/car/1541/MG-ZS-EV-Long-Range#:~:text=Battery
MG MG4 EV Long Range,MG,Hatchback,64 (61.7 usable),360 real / 450 WLTP,150.0,250.0,7.9,160.0,RWD,5,6.6 kW AC / 142 kW DC,Compact hatchback using Modular Scalable Platform; rear-wheel drive,https://ev-database.org/uk/car/1708/MG-MG4-EV-Long-Range#:~:text=Battery
MG MG5 EV Long Range,MG,Estate/Wagon,61.1 (57.4 usable),335 real / 400 WLTP,115.0,280.0,7.7,185.0,FWD,5,11 kW AC / 87 kW DC,Electric station wagon with long-range battery; front-wheel drive,https://ev-database.org/car/1474/MG-MG5-Electric-Long-Range#:~:text=Nominal%20Capacity%20%2061,Data%20Warranty%20Mileage%20No%20Data
MG Marvel R Performance,MG,Compact SUV,75 (70 usable),350 real / 370 WLTP,212.0,665.0,4.9,200.0,AWD,5,11 kW AC / 94 kW DC,Tri-motor compact crossover; features V2L capability,https://ev-database.org/car/1475/MG-Marvel-R-Performance#:~:text=Battery
MG EHS Plug-in Hybrid,MG,Compact SUV (PHEV),16.6 (14.9 usable),52,190.0,370.0,6.9,185.0,FWD,5,3.7 kW AC (approx),Plug-in hybrid with 1.5L turbo engine and electric motor; EV range ~52 km,https://www.cardino.de/en/blog-posts/mg-ehs-phev#:~:text=MG%20EHS%20PHEV%202024%3A%20High,Friendly%20Innovation
Hyundai Ioniq 5 84 kWh RWD,Hyundai,Crossover SUV,84 (80 usable),450 real / 570 WLTP,168.0,350.0,7.5,185.0,RWD,5,11 kW AC / 263 kW DC,800‑V architecture; available since 2024; supports ultra-fast charging,https://ev-database.org/car/2236/Hyundai-IONIQ-5-84-kWh-RWD#:~:text=Nominal%20Capacity%20%2084,years%20Warranty%20Mileage%20160%2C000%20km
Hyundai Ioniq 6 Long Range RWD,Hyundai,Sedan,77.4 (74 usable),545‑614 WLTP,168.0,350.0,7.4,185.0,RWD,5,11 kW AC / 233 kW DC,Streamlined electric sedan; highly efficient; CLTC range up to 700 km,https://evkx.net/models/hyundai/ioniq_6/ioniq_6_long_range_rwd/specifications/#:~:text=Performance
Hyundai Kona Electric 65 kWh,Hyundai,Compact SUV,68.5 (65.4 usable),390 real / 514 WLTP,160.0,255.0,7.8,170.0,FWD,5,11 kW AC / 105 kW DC,Second‑generation Kona Electric; uses new 65 kWh battery; V2L capable,https://ev-database.org/car/1830/Hyundai-Kona-Electric-65-kWh#:~:text=Hyundai%20Kona%20Electric%2065%20kWh
Hyundai Tucson Plug-in Hybrid,Hyundai,Compact SUV (PHEV),13.8,56 electric,195.0,350.0,,,AWD,5,7.2 kW AC (approx),Plug‑in hybrid SUV combining 1.6 L turbo engine with 66.9 kW motor,https://www.hyundai.news/uk/articles/press-releases/all-new-hyundai-tucson-plug-in-hybrid-prices-and-specifications.html#:~:text=in%20All%20New%20TUCSON%2C%20the,1
AutoEV R200,AutoEV,Electric scooter/motorcycle,,130,3.5,,,100.0,Electric two-wheeler,2,Unknown,Electric scooter; features 2-year free service and 5-year warranty,https://www.e-rider.net/pricing-table/#:~:text=Autoev%20R200
AutoEV R300,AutoEV,Electric scooter/motorcycle,,150,4.0,,,120.0,Electric two-wheeler,2,Unknown,High-speed electric scooter; 2-year service and 5-year warranty,https://www.e-rider.net/pricing-table/#:~:text=Autoev%20R300
Maxus Dana V1,Maxus (SAIC),Electric Minibus/Van,51,350,122.0,,,100.0,FWD,2,Fast charge to 80% in 45 min,Commercial van with 6 m³ cargo capacity; ideal for city logistics,https://ev.motorwatt.com/ev-database/database-electric-trucks/maxus-dana-v1#:~:text=The%20Maxus%20Dana%20V1%2C%20manufactured,capacity%20of%206%20cubic%20meters
